title,price,sold_quantity
Samsung Galaxy Note 8 Original,13499,0
Samsung Galaxy Note 8 128 Gb Telcel Y Gear S3 Frontier,15500,0
Samsung Galaxy Note 8 ,17999,0
Galaxy Note 8,17500,0
Galaxy Note 8,19000,0
Note 8 Libre De Compañia 64gb!! Original Negro Y Orchid Gray,16299,0
Samsung Note 8 Como Nuevo Accesorios Originales ,13600,0
Note 8 Negra 128gb,18,0
Galaxy Note 8,14700,0
Samsung Galaxy Note 8 De 128gb + Dex Station,16500,0
Galaxy Note 8 Nueva!,15500,0
Galacy Note 8,18500,0
Note 8 128 Gb,18000,0
Samsung Note 8 Telcel Libre De 128gb,16000,0
Samsung Note 8 64gb,16000,0
Samsung Galaxy Note 8 64gb + 6gb Ram,16500,0
Galaxy Note 8,16500,0
Samsung Galaxy Note 8,16500,0
Note 8 128gigas,13900,0
Samsung Galaxy Note 8 128gb,17500,0
Note 8 Nacional Nueva Con Dex,18500,0
Galaxy Note 8 128gb 6gb Ram Sellada Liberada,15999,0
Telefono Samsung Note 8 ,12999,0
Samsung Note 8 Midnight Black 128 Gb,17000,0
Samsung Galaxy Note 8 Midnight Black 64gb,15000,0
"Samsung Galaxy Note 8, Nuevas, Libres, Snapdragon 835.",16999,0
Samsung Galaxy Note 8 Liberado,18000,0
Galaxy Note8 128gb 6gb Ram Nueva Sellada Liberada,15999,0
Samsung Galaxy Note 8 6 Gb + 256 Gb,23499,0
Samsung Note 8 Completamente Nuevo Y Libre ,14629,0
Galaxy Note 8,17000,0
"Galaxy Note 8. 6 Gb Ram, 128 Gb Internos ¡oferta Limitada!",18500,0
Samsung Galaxy Note 8 128 Gb,15500,0
Samsung Tablet Note 8.0 Por Pzas,1500,0
"Note 8, Libre, Nueva",16000,0
Samsung Note 8 Black,15100,0
Samsung Note 8 64gb Con 2 Regalos Y Envió Gratis Grekime,15214,0
"Samsung Galaxy Note 8 (128gb) Usado, Sin Ningún Detalle ",19899,0
Galaxy Note 8 128gb + Regalo,17210,0
Samsung Galaxy Note 8 Original Liberada Acepto Mercadopago,22500,0
Note 8 128gb,14990,0
Galaxy Note 8 + Dex Station Nuevo Sellado 128gb 6 En Ram,18000,0
Samsung Galaxy Note 8 Dex Gear S3,22000,0
Samsung Galaxy Note 8,13000,0
Note 8,17000,0
Samsung Galaxy Note 8 (nuevo),19000,0
Samsung Galaxy Note 8 - Negro,19550,0
Note 8 64gb N950w Liberado ,13800,0
Samsung Galaxy Note 8 Nuevo,21000,0
Galaxy Note Note 8 Libre Cualquier Compañía Original Y Nuevo,17900,0
Samsung Galaxy Note 8 Octacor,20000,0
Samsung Note 8 (64gb) N950f /ds 6.3  Dual Sim Gsm Modelo,31785.77,0
Samsung Note 8,17500,0
Samsumng Note 8,16000,0
Samsung Galaxy Note 8 64gb  4g Lte  Libre De Fabrica,16500,0
Samsung Galaxy Note 8 Dual Sim 64gb Libre De Fabrica,16999,0
Samsung Galaxy Note 8 Violeta,16599,0
Galaxy Note 8,14500,0
Samsung Galaxy Note8,15000,0
Samsung Note 8,18500,0
Samsung Note 8 Nuevas,14900,0
Samsung Galaxy Note 8,15000,0
Galaxy Note 8,16000,0
Samsung Galaxy Note 8 128gb Liberado,15500,0
Protector De Pantalla De Cristal Samsung Galaxy Note 8 Pp,1100,0
Samsung Note 8 Nuevo,14800,0
Cambio Samsung S8+ Por Iphone 8+ O Note 8,1,0
Samsung Galaxy Note 8 64gb Liberado  Oferta ,16999,0
Samsung Galaxy S8,7200,0
Combo Note 8 Y Dex Station,16000,0
Samsung Galaxy Note 8,11929,0
"Caso 8, Xrpow Sasmung Nota Galaxy Note 8 Protección Guardia ",1004.5,0
Samsung Galaxy Note 8 Dual Sim 128gb 4g Lte Libre De Fabrica,19499,7
Samsung Galaxy Note 8  64gb N950fd 2sim 4g 12mpx Liberado,15099,15
Samsung Galaxy Note 8 Snapdragon 2- Sim 4g N9500 256gb 4g,20999,11
Samsung Galaxy Note 8 Liberado 64gb,11000,1
"Samsung Note 8, Nacional, 128gb,6ram,orchid Gray, Envio!!",15499,1
"Galaxy Note 8,64gb,unlocked,snapdragon,envío Gratis!!",13499,15
Samsung Note 8 64gb Black,12400,2
Samsung Note 8  4g Lte Liberada Estetica 9.9!!!,10950,5
Samsung Galaxy Note 8 N950u 6.3 Ram 6gb 100% Nuevos,15299,1
Galaxy Note 8,12500,0
Samsung Galaxy Note 8  Liberado,13720,0
Samsung Note 8,13000,0
Galaxy Note 8 Sm-n950f 128gb Ca 118901,16030,0
05s Samsung Galaxy Note 8 128 Gb Libre 6 Ram Nacional +funda,13999,0
"Samsung Note 8, 128 Gb, 6 Gb De Ram!!!",16050,0
Samsung Galaxy Note 8 ,13450,0
Note 8,12500,0
Samsung Galaxy Note 8 Midnight Black Telcel + Dex Station,17500,0
Samsung Galaxy Note 8 Dual Sim De 256gb Snapdrag 12+12mpx 4g,22799,0
Remato Galaxy Note 8 64gb Libre 4g Lte Ligero Detalle Telcel,11499,0
Galaxy Note 8 64gb Envio Gratis  Nuevo Original Garantía ,14500,0
"Galaxy Note 8 , 64gb, Libre De Fabrica, Negro , Snapdragon!!",14599,0
Note 8 128 G A&t O Telcel,16500,0
Batería Seminueva Para Samsung Note 8  Li-ion 4600 Mah,895,0
Samsung Galaxy Note 8 + Dex Station 128 Gb Negro Libre Negro,17499,0
Note 8 64 Gigas Caja Y Todos Los Accesorios ,13000,0
Galaxy Note 8 De 128 Gb Nacional Envió Gratis,15699,0
Note 8,11300,0
"Samsung Galaxy Note 8 , Negro, Nuevo, 64gb ,6 Gb Ram",12500,0
Galaxy Note 8,15000,0
"Galaxy Note 8 Negro , Coreano Nuevo",4150,0
Samsung Galaxy Note 8 128gb 6ram At&t No Iphone,14999,0
Samsung Galaxy Note 8 At&t Nacional 128gb Detalle Tapa,11000,0
Samsung Galaxy Note 8 64gb Ram 6gb 12mp 6.3 Octacore Gris,14498,1
Samsung Galaxy Note 8 ,13300,1
Samsung Galaxy Note 8 N950u 6.3  Ram 6gb Nuevos En Caja,14999,0
Samsung Galaxy Note 8 Liberado Excelente,14000,0
Samsung Galaxy Note 8 De 128 Gb,14000,0
Samsung Note 8 64gb + Envío Gratis + Regalo,14990,0
Samsung Galaxy Note 8 De 128 At&t,13000,0
Samsung Note 8 De 64g Impecable Libre De Fabrica Dias Duso !,15999,0
Galaxy Note 8 64 Gb Libre,12700,0
Galaxy Note 8 128 Gb Libre,16500,0
Samsung Galaxy Note 8 De 128gb,12500,0
"Galaxy Note8, Video 4k, Octa-core, Cámara Doble 12mp, Amoled",17299,0
Samsung Galaxy Note 8 Seminuevo,16000,0
Galaxy Note 8 64gb Nuevo En Caja Libre De Fabrica,13800,7
Note 8 64gb Nuevo Libre De Fabrica Garantia!!!,13800,0
Samsung Note 8 Violeta,28400,0
Samsung Note 8 Negro,28400,0
Samsung Galaxy Note 8,12400,0
Note 8,13200,0
Samsung Galaxy Note 8,9000,0
Galaxy Note 8 + Dex Station C/busco S9 Plus O P20 Pro. ,15999,0
Samsung Galaxy Note 8 128 Gb,14999,0
Galaxy Note 8 Clon ,3000,0
Note 8 Producto Totalmente Nuevo! Original Orchyd Gray Negro,13848,0
Note 8 En Excelentes Condiciones    ,8000,0
Samsung Galaxy Note 8,12000,0
Samsung Note 8 Vendo O Cambio Por Iphone X,16000,0
Galaxy Note 8,13500,0
Note 8 ,5000,0
Galaxy Note 8,10000,0
¡¡galaxy Note 8!!,14000,0
Celular Samsung Note 8 Clon Nuevo Con Caja Y Accesorios,6000,0
Samsung Galaxy Note 8 Replica ,4000,0
Galaxy Note 8 Versión 64gb,8800,0
Note 8 128 Gigas,14000,0
Note 8 Telcel 10 Meses De Garantía,18500,0
Samsung Note 8 Demo Live Sm 950f ,7500,0
Samsung Note 8,14500,0
Samsung Note 8 128 Gb,14000,0
Samsung Galaxy Note 8,5000,0
Samsung Galaxy Note 8 Dual Sim 128gb 4g,15000,0
Samsung Galaxy Note  8 Clon,2000,0
Samsung Note 8,14000,0
Note 8 Nuevo ,12000,0
Samsung Galaxy Note 8,12300,0
Samsung Note 8 ,11999,0
Samsung Galaxy Note 8,17000,0
Celular Galaxy Note 8 Replica1:1,2200,0
"Samsung Note8 128 Gb, Libre Para Cualquier Compañía",15500,0
Celular Samsung Galaxy 8 Note,3750,0
Galaxy Note 8 Liberada En Caja Y Accesorios Nuevos Originale,13000,0
Galaxy Note 8 De 128gb ,15500,0
Clon Samsung Note 8- Nuevo,5000,0
Samsung Galaxy Note 8,13900,0
Note 8 Usada,13500,0
V/cambio Galaxy Note 8 128 Gb Liberado,16500,0
Note 8 Detalle En Pantalla ,18000,0
Samsung Galaxy Note 8 64gb Nuevas ,14000,0
Samsung Galaxy Note 8 128 Gb Liberado Con Caja Y Accesorios,18000,0
Poderosa Samsung Note 8.,15750,0
Celular Samsung Note 8 ,3000,0
Galaxy Note 8 Negro 128 Gb,15000,0
Note 8 Snapdragon 256gb 6gb Ram Desbloqueado Precioatratar,20500,0
Samsung Galaxy Note 8 64 Gb Desbloqueado,11400,0
Samsung Galaxy Note 8 De 128gb ,15900,0
Samsung Note 8 Nueva,12750,0
Samsung Galaxy Note 8 Seminuevo,14000,0
Galaxy Note 8,18000,0
Galaxy Note 8,15500,0
Samsung Galaxy S8 Cambio X Note 8 Y Doy Diferencia ,11000,0
Note 8 Orchid Gray 64gb Libre De Fabrica Vendo O Cambio,14799,0
Samsung Galaxia Note 8 Nueva,13500,0
Samsung Galaxy Note 8 128 Gb,18000,0
Galaxy Note 8,17000,0
Samsung Galaxy Note 8 128gb,20000,0
Samsung Galaxy Note 8,18000,0
Galaxy Note 8 64gb Nuevas Liberadas,14500,0
Samsung Galaxy Note 8 128 Gb,17000,0
Samsung Galaxy Note 8 64 Gb Lte Desbloqueado ,13599,0
Samsung Galaxy Note 8 64gb Como Nuevo,12000,0
Samsung Galaxy Note 8,14500,0
Galaxy Note 8,18000,0
Samsung Galaxy Note 8 Nuevo Con Cargador Inalámbrico ,14000,0
Samsung Note 8 Nueva,14848,0
Galaxy Note 8 Libre Y Estetica De 10,14500,0
Galaxy Note 8,15700,0
Galaxi Note 8 De 128 Gb ,18000,0
Samsung Note 8 De 64 Color Orquidea Libre,13500,0
Samsung Galaxy Note 8,15500,0
Samsung Galaxy Note 8,15800,0
Galaxy Note 8 Totalmente Nueva 128g Nacional Liberada,17000,0
Galaxy Note 8 Negro O Orchid Gray 64gb - Desbloqueado,14299,0
Samsung Galaxy Note 8 De 64gb Libre Para Cualquier Compañia,13600,0
Samsung Galaxy Note 8,20000,0
Galaxy Note 8,14999,0
Note 8,13700,0
Samsung Note 8,15000,0
Samsung Note 8 128 Gb Telcel Gris Orquidea Caja Sellada. ,17989,0
Galaxy Note 8 De 128gb ,17500,0
Display Note 8,4800,0
Samsung Note 8,13800,0
Samsung Galaxy Note 8 ,13500,0
Galaxy Note 8 Usado,13000,0
Móvil Note 8,14700,0
Samsung Note 8 128gb,12000,0
Note 8 128gb,15000,0
Samsung Galaxy Note 8 ,13500,0
Note 8 128gb Telcel,18800,0
"Samsung Note 8 Nuevo, Liberado, Sin Accesorios",14000,0
Samsung Note 8 At&t Iusacell ,15000,0
Galaxy Note 8 Dual Sim 64 Gb Negro,13900,0
"Galaxy Note8 Nuevo De Paquete, Sellado",17999,0
Samsung Galaxy Note 8 ,16000,0
Samsung Note 8,14000,0
Galaxy Note 8,13000,0
Note 8 128 Gb En Caja Semi Nuevo Telce,19000,0
Samsung Note 8,14800,0
Note 8 ,15500,0
"Samsung Galaxy Note 8 Gt-n5110 16gb, Estetica 8.5 ",1899,0
Samsung Galaxy Note 8 128gb,17000,0
Samsung Galaxy  Note 8,14000,0
Note 8 128gb,16000,0
Galaxy Note 8 64gb Libre Excelentes Condiciones ,12999,0
Samsung Galaxy Note 8 Clon ,1500,0
Samsung Note 8,13500,0
